columna_pca,componente,correlacion_columna_score
menores,PC42,-0.00015943752887591093
menores,PC43,-1.5714330378409166e-05
menores,PC44,5.2766931682420804e-05
menores,PC45,-0.00027657466569310364
menores,PC46,-1.8722234095007852e-05
menores,PC47,0.00010314357558182118
menores,PC48,-2.5806482558232617e-05
menores,PC49,-9.0151288451295e-05
menores,PC50,3.403002035846358e-05
menores,PC51,-7.178607554065808e-06
menores,PC52,-1.0407181309448675e-06
menores,PC53,2.6112717599177005e-06
menores,PC54,-5.274754929437587e-06
menores,PC55,-1.3666312944593479e-06
menores,PC56,8.112599782154626e-07
menores,PC57,-5.868577131592719e-07
menores,PC58,4.046012338210641e-07
menores,PC59,1.3660339801857306e-06
menores,PC60,2.1408789355012928e-06
menores,PC61,1.7354411957647801e-07
menores,PC62,1.419411687899967e-07
menores,PC63,1.931108996844006e-08
menores,PC64,-2.2588557922545133e-08
menores,PC65,7.88629917204806e-08
menores,PC66,1.135519897621983e-08
menores,PC67,-6.093064612387245e-17
menores,PC68,-3.1975604795674777e-17
menores,PC69,1.3885204162878396e-17
menores,PC70,-3.866032218613591e-17
menores,PC71,3.1265424262719133e-17
menores,PC72,-7.221337564963873e-17
menores,PC73,5.303943995273404e-17
menores,PC74,2.807777506719015e-17
menores,PC75,4.858592491741612e-17
menores,PC76,4.7075847125667413e-17
menores,PC77,1.2021514221826914e-17
p65mas,PC1,-0.32772313851557594
p65mas,PC2,-0.22618250898134354
p65mas,PC3,0.5753933024458596
p65mas,PC4,0.6613550607239284
p65mas,PC5,-0.15983146409763044
p65mas,PC6,-0.017342257461876998
p65mas,PC7,-0.043593435013527894
p65mas,PC8,-0.030958138109666935
p65mas,PC9,0.09079405633134661
p65mas,PC10,0.11160054655712393
p65mas,PC11,-0.13866512696812927
p65mas,PC12,-0.021571689289968974
p65mas,PC13,-0.017052465414385095
p65mas,PC14,0.01349958320349873
p65mas,PC15,0.005866808646753783
p65mas,PC16,0.007710255483002463
p65mas,PC17,0.0016245134501656406
p65mas,PC18,0.002042703341106563
p65mas,PC19,0.02412849125007813
p65mas,PC20,0.019379638289106063
p65mas,PC21,-0.018164016848843216
p65mas,PC22,-0.009803821824330447
p65mas,PC23,-0.038299520201584177
p65mas,PC24,0.0049046364683388
p65mas,PC25,0.014190466753244802
p65mas,PC26,0.007757247292449894
p65mas,PC27,-0.004470872885722357
p65mas,PC28,0.003689123898103842
p65mas,PC29,0.00875555635277931
p65mas,PC30,0.00017770712330093566
p65mas,PC31,0.002221486031476937
p65mas,PC32,-0.004877517446739311
p65mas,PC33,0.00016698107952604704
p65mas,PC34,0.0006908700400818483
p65mas,PC35,-7.767782959704881e-05
p65mas,PC36,0.003243439194799086
