variable_original,repeticion,rmse_permutado,mae_permutado,delta_rmse,delta_mae,baseline_rmse,baseline_mae
subor_principal_desc,1,42311.66166335604,16013.090204956534,314.6192937586093,35.86661607293354,41997.04236959743,15977.2235888836
subor_principal_desc,2,42281.39508149044,16039.12876136113,284.3527118930069,61.90517247752905,41997.04236959743,15977.2235888836
subor_principal_desc,3,42376.162267812215,16051.226335059788,379.11989821478346,74.00274617618743,41997.04236959743,15977.2235888836
subor_principal_desc,4,42401.894058561586,16057.063480053444,404.85168896415416,79.83989116984412,41997.04236959743,15977.2235888836
subor_principal_desc,5,42281.75990048385,16004.606059081234,284.7175308864171,27.382470197633666,41997.04236959743,15977.2235888836
subor_principal_desc,6,42285.59869896288,15987.618535189795,288.5563293654486,10.39494630619447,41997.04236959743,15977.2235888836
subor_principal_desc,7,42353.499422609435,16033.855710504387,356.4570530120036,56.632121620787075,41997.04236959743,15977.2235888836
subor_principal_desc,8,42352.58540364429,16034.249431931104,355.54303404685925,57.02584304750417,41997.04236959743,15977.2235888836
subor_principal_desc,9,42182.81157775922,16013.069634381183,185.76920816178608,35.84604549758296,41997.04236959743,15977.2235888836
subor_principal_desc,10,42211.854759319656,16007.482145754635,214.8123897222249,30.25855687103467,41997.04236959743,15977.2235888836
tam_loc_desc,1,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,2,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,3,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,4,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,5,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,6,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,7,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,8,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,9,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tam_loc_desc,10,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,1,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,2,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,3,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,4,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,5,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,6,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,7,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,8,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,9,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
tot_integ,10,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
